Phoenix                       AZ  536  8921 1584 1268 4729 2942  4573 2472 6415
Tuscon                        AZ  589  8548 1259 1400 4397 2685  4889 3131 6147
Salinas/Seaside/Monterey      CA  843 13838  352 1107 4160 2439  1004 3179 5656
Sacramento                    CA  576  9855 1027 1363 5097 2793  4483 2306 5309
San Diego                     CA  903 14465 2416 1099 5489 2794  8818 3347 5489
Oxnard/Ventura                CA  890 14000 1106  791 2238 2155  2769 2135 5514
Stockton                      CA  625  8474  342 1395 4427 2155  1579 1630 5672
Fresno                        CA  559  9291  369 1483 4388 2407  3596 2984 5746
Anaheim/Santa Ana             CA  885 16047 2025  983 3954 2843  5632 3156 6220
Santa Cruz                    CA  843 14303 1035  964 5010 2611  3748 1703 5335
Santa Rosa/Petaluma           CA  732 12931 1052  912 3313 2722  3457 2255 5703
Oakland                       CA  910 13135 2362 1533 6430 2646  6162 2394 5457
San Francisco                 CA  910 17158 3726 1619 8299 3371 14226 4600 6063
San Jose                      CA  850 16048 2117 1065 5224 2709  6446 1964 7270
Santa Barbara                 CA  855 15547  532 1026 5662 2719  2684 3300 5821
Riverside/San Bernardino      CA  615  9754 2201 1475 3141 2596  5327 1918 4923
Redding                       CA  664  8584  274  892 5727 2471   845 2424 4459
Bakersfield                   CA  560  8068  420 1561 3725 2564  1222 1568 6056
Yuba City                     CA  608  7875  212 1179 2768 2387   122  918 4694
Los Angeles                   CA  885 13868 5153 1960 4345 3195 23567 3948 5316
Vallejo/Fairfield/Napa        CA  821 10503 1079  964 4153 2498  2962 1559 5819
Visalia/Tulare/Porterville    CA  543  7778  210 1132 3094 2128   511 2800 5563
Modesto                       CA  639  8630  347 1154 2000 2616   631  833 5107
Chico                         CA  603  8587  243  947 4067 3126  1647 1543 5307
Boulder/Longmont              CO  459 11914  962 1088 7108 2587  3663 4012 7127
Colorado Springs              CO  526  8509  721 1086 3389 2754  1749 2375 7699
Denver                        CO  521 10789 2533 1365 8145 3145  8477 2324 7164
Greeley                       CO  490  8218  706  994 1641 2854  1254  739 5443
Fort Collins                  CO  490  9951  731  744 2637 2413  1609 4200 6631
Pueblo                        CO  497  6637  468 1181 3501 2653  1307 1619 4646
Boise City                    ID  592  8221  453  880 6575 2391  2385 1672 4633
Great Falls                   MT  410  7143  667  792 3747 2737   401 2176 4697
Billings                      MT  452  8315  479  810 6285 3008   778 2046 5913
Las Cruces                    NM  552  6962  588 1457 2989 2736  2804 1609 5341
Albuquerque                   NM  659  8393 1853 1483 6558 3026  4496 2612 5727
Reno                          NV  535 12449  615 1116 6767 2529  2210 2386 5677
Las Vegas                     NV  556  9906  412 1913 5900 2241  1586 3996 6035
Eugene/Springfield            OR  741  9370  539  874 5293 3118  2631 3400 3045
Portland                      OR  768  9912 1590 1504 5947 3343  5160 2532 4535
Medford                       OR  611  9008  256  728 3512 2797  1856 1416 3692
Salem                         OR  716  8378  749 1014 4732 3278   691 1873 3835
Salt Lake City/Ogden          UT  541  9466 1631  969 6228 2340  5528 3900 4942
Tacoma                        WA  808  7770  539 1162 4730 2546  4297 4000 4887
Spokane                       WA  574  6927  497  869 5534 2774  2988 1517 4722
Yakima                        WA  535  6440  317 1106 3731 2491   996 2140 4986
Seattle                       WA  808 10183 2715 1170 6634 2710  9577 4800 5901
Richland/Kinnewick/Pasco      WA  664  8461  300  779 4714 1728   529 1204 5326
Bellingham                    WA  772  8329  240  825 3776 2778  1302 3200 4247
Olympia                       WA  726  8263  338  752 4083 2625   708 1451 4912
Bremerton                     WA  808  9060  310  651 1670 2544   382 1973 5671
Vancouver                     WA  768  9015  517  752 3817 2332  1557 1464 4571
Casper                        WY  401  9839  345  989 4410 2453   303 1435 6303
